block_num, xor_spent, pswap_gross_burn, pswap_reminted_lp, pswap_reminted_parliament, pswap_net_burn
229303, 25791034766957995, 47354667015871830395, 42365616072414653703, 4735466701587183039, 253584241869993653
232407, 3282861722783320570, 6000967306546452971478, 5366593050636814334957, 600096730654645297147, 34277525254993339374
232459, 7022292674006654248, 12833578709465702222131, 11476915436930663908825, 1283357870946570222213, 73305401588468091093
232488, 314130471785476, 573989842687601336, 513312228437409623, 57398984268760133, 3278629981431580
233146, 9316955668989255922, 17019344594573955423581, 15220195638792353447843, 1701934459457395542358, 97214496324206433380
233570, 10670909469790027814, 19630336625327533215132, 17555174479990909023893, 1963033662532753321513, 112128482803870869726
233927, 1576091287849629, 2881380426213665846, 2576783938597766802, 288138042621366584, 16458444994532460
234515, 273977110115471, 501569135729337800, 448547259253118042, 50156913572933780, 2864962903285978
235285, 5082293702210519, 9280083435962762177, 8299067255780266661, 928008343596276217, 53007836586219299
235724, 711909845115731, 1292299037940776921, 1155687522041981511, 129229903794077692, 7381612104717718
235742, 4039045757644019, 7328007159554582111, 6553348866703748126, 732800715955458211, 41857576895375774
236097, 255260269416960, 455328695360348570, 407194988316415401, 45532869536034857, 2600837507898312
236224, 283930711660261, 500844789244317947, 447899484883722608, 50084478924431794, 2860825436163545
236245, 5499679041866577, 9687714973971887208, 8663607248643371067, 968771497397188720, 55336227931327421
236275, 54181894482289, 95104555433075746, 85050862669134442, 9510455543307574, 543237220633730
237102, 50147643128205237, 84572019094439699031, 75631741811928289567, 8457201909443969903, 483075373067439561
238433, 57000000000000, 88656336646965495, 79284297987341478, 8865633664696549, 506404994927468
239184, 138187874838022744, 209589806746295044039, 187433649095530702343, 20958980674629504403, 1197176976134837293
239212, 3951225674191721, 5986178219946549850, 5353367347959560172, 598617821994654985, 34193049992334693
239413, 155567813327849592, 233037732305942858108, 208402847548417026691, 23303773230594285810, 1331111526931545607
239572, 67344692022330531, 99917921920370497316, 89355398558324291303, 9991792192037049731, 570731170009156282
239631, 1115664133253510, 1649380492753528517, 1475021182103567510, 164938049275352851, 9421261374608156
240126, 4634191278441313, 6567437765653325887, 5873180784570581500, 656743776565332588, 37513204517411799
240400, 127140012006098524, 173234085623449636075, 154921163964023528146, 17323408562344963607, 989513097081144322
240649, 104320851742020023, 140098321435831249223, 125288247680206656205, 14009832143583124922, 800241612041468096
240712, 21486782358605962, 28901761363898988819, 25846498366598498912, 2890176136389898881, 165086860910591026
241259, 22631866906621628, 29715714906107231157, 26574407251952823536, 2971571490610723115, 169736163543684506
242173, 13078022987382620, 16262312730375448043, 14543191127021998679, 1626231273037544804, 92890330315904560
242218, 39032517365262521, 48447429644900519969, 43325954962278796202, 4844742964490051996, 276731718131671771
242446, 12837035111084882, 15751370009227540098, 14086261182812078379, 1575137000922754009, 89971825492707710
242578, 1271950732404685, 1556385470838514025, 1391856849945233030, 155638547083851402, 8890073809429593
242607, 875783467355648, 1069794379455824365, 956704276014790259, 106979437945582436, 6110665495451670
242610, 9275270973930796, 11318809145924032820, 10122275193490111462, 1131880914592403282, 64653037841518076
242870, 17195909580882017, 20823475477298462474, 18622184237642287408, 2082347547729846247, 118943691926328819
242980, 18007091353393905, 21581097022198001005, 19299716093787405922, 2158109702219800100, 123271226190794983
243001, 10875829839612903, 13000258262174612636, 11625974960763609985, 1300025826217461263, 74257475193541388
243013, 5141434803978928, 6135117878296503380, 5486562297146023414, 613511787829650338, 35043793320829628
243155, 244688460257696366, 289754687963740733510, 259124140389717773089, 28975468796374073351, 1655078777648887070
243623, 6580206427865899, 7670652325496208999, 6859772326863353753, 767065232549620899, 43814766083234347
243639, 9359083482085620, 10929971323995130601, 9774542195392957354, 1092997132399513060, 62431996202660187
243703, 57070170015638176, 66837883349833508043, 59772317025155908240, 6683788334983350804, 381777989694248999
245859, 402492232, 432708729511, 386811747280, 43270872951, 2626109280
246807, 9536434058657677898, 10118366949174601735793, 9045121885242600904279, 1011836694917460173579, 61408369014540657935
246859, 76991092765348517239, 81120912515398401649985, 72516498445802608585372, 8112091251539840164998, 492322818055952899615
247546, 72793050765040877673, 79008498881723160345672, 70628146413837666450966, 7900849888172316034567, 479502579713177860139
247970, 60928221128785387452, 65323048774267399102823, 58394298313829630347385, 6532304877426739910282, 396445583011028845156
248327, 6096104865906751, 6473327061069206036, 5786707733028656420, 647332706106920603, 39286621933629013
248915, 76040498073194, 82046291374645156, 73343723294827918, 8204629137464515, 497938942352723
248966, 3476161407896152, 3745378721130240826, 3348110145558677311, 374537872113024082, 22730703458539433
249039, 38267768676868, 41382995784591053, 36993542804715264, 4138299578459105, 251153401416684
249685, 827884033600671, 891734824132350520, 797149403071456232, 89173482413235052, 5411938647659236
250058, 2290059590018153, 2465981325470454205, 2204417152259128597, 246598132547045420, 14966040664280188
250124, 390401307177962, 419715738118349377, 375196909491874176, 41971573811834937, 2547254814640264
250142, 781046463860524, 839442156385069783, 750403366299461816, 83944215638506978, 5094574447100989
250445, 5665163802260766, 6072690376860669784, 5428566181277435400, 607269037686066978, 36855157897167406
250470, 776344122010137, 832203736401732396, 743932718285337042, 83220373640173239, 5050644476222115
250497, 516812986596720, 554289984592406686, 495497000216674701, 55428998459240668, 3363985916491317
250624, 283078919525280, 302029565906530576, 269993591880390784, 30202956590653057, 1833017435486735
250645, 4231939039348340, 4513617536081586712, 4034862637646948891, 451361753608158671, 27393144826479150
250675, 504597920678119, 538356774942760332, 481253810181356686, 53835677494276033, 3267287267127613
251502, 27961445948201927, 29618255970715303067, 26476677178157501585, 2961825597071530306, 179753195486271176
252833, 995401680540217, 1055338192447232803, 943399525712547266, 105533819244723280, 6404847489962257
253584, 351761752458683031, 371830500441649305803, 332390811090304005585, 37183050044164930580, 2256639307180369638
253813, 186692477394070858, 197077803538793923540, 176173957995237590864, 19707780353879392354, 1196065189676940322
253972, 194257486414452545, 205456053436494040308, 183663535304538553946, 20545605343649404030, 1246912788306082332
253974, 37532028661653946, 39695511647093021412, 35485048422197511723, 3969551164709302141, 240912060186207548
254031, 13037466945091253, 13777722039788507286, 12316332840750180106, 1377772203978850728, 83616995059476452
254515, 3341353801169055, 3519359659337831200, 3146064699631526782, 351935965933783120, 21358993772521298
254526, 39341299494458779, 41424479782084576087, 37030626636078647186, 4142447978208457608, 251405167797471293
254527, 3470038767977836, 3653779670133503844, 3266226914302113224, 365377967013350384, 22174788818040236
254800, 68182441065877671, 71775548413288577063, 64162387768639470982, 7177554841328857706, 435605803320248375
255049, 44523419404891226, 46760902066670312036, 41801019945360658708, 4676090206667031203, 283791914642622125
255112, 57712708690608660, 60578111353049570685, 54152651659942955772, 6057811135304957068, 367648557801657845
255659, 30568429398239856, 32070076861603761187, 28668435878970311841, 3207007686160376118, 194633296473073228
256573, 1360781646041654, 1411661409513528609, 1261927895467838142, 141166140951352860, 8567373094337607
256589, 6954261455907082, 7176530929073289956, 6415323469957415163, 717653092907328995, 43554366208545798
256618, 28196890135917393, 29094614618722239683, 26008577940728990442, 2909461461872223968, 176575216121025273
256653, 4190089030685, 4308148497622312, 3851187494628010, 430814849762231, 26146153232071
256846, 21315125036139377, 21948834413496976668, 19620743496091765849, 2194883441349697666, 133207476055513153
256978, 2095043760171, 2157411162041774, 1928576717495165, 215741116204177, 13093328342432
257010, 1028563836184022, 1059145594222887788, 946803080189260303, 105914559422288778, 6427954611338707
257237, 8263908080796661, 8483101148455268554, 7583307092739766673, 848310114845526855, 51483940869975026
257270, 3308707884494051, 3390613262628070607, 3030974304474373785, 339061326262807060, 20577631890889762
257380, 1570496014206868, 1608856837581364351, 1438207001675946615, 160885683758136435, 9764152147281301
257385, 1973932664598662, 2022011600405227891, 1807538851961845773, 202201160040522789, 12271588402859329
257401, 18775343922104687, 19233379907910426580, 17193314534458275543, 1923337990791042658, 116727382661108379
257413, 800807850972993, 820322207454241187, 733311451231777278, 82032220745424118, 4978535477039791
257555, 704113905361965461, 718231939966492416132, 642049796326186532045, 71823193996649241613, 4358949643656642474
258023, 2848687566299844, 2888201471734164396, 2581852829828793312, 288820147173416439, 17528494731954645
258039, 1800000000000000, 1824004639252482587, 1630534291171611011, 182400463925248258, 11069884155623318
258103, 36141000838029940, 36570422201237372881, 32691434088774325976, 3657042220123737288, 221945892339309617
261207, 7946556579187577974, 7643278387982684436034, 6829834842263239262244, 764327838798268443603, 49115706921176730187
261259, 53581865784254547116, 51371006381264478041413, 45903795656132024701377, 5137100638126447804141, 330110087006005535895
261288, 313188080370119, 301116655037852452, 269070013908793966, 30111665503785245, 1934975625273241
261946, 40236511248776728233, 38208643664286672927768, 34142250553671299474757, 3820864366428667292776, 245528744186706160235
262370, 32174817661285556680, 30391229239682790884885, 27156812276620310182170, 3039122923968279088488, 195294039094201614227
262727, 872617853560681, 827563982087368045, 739489657729737813, 82756398208736804, 5317926148893428
263293, 4396565309267217, 4110729499623352889, 3673241001896437934, 411072949962335288, 26415547764579667
263366, 3183053862250862, 2976230268217562516, 2659481985692240207, 297623026821756251, 19125255703566058
264085, 300000000000000, 278096805752863705, 248500075103809432, 27809680575286370, 1787050073767903
264458, 2480606643271706, 2263132199564830636, 2022276092093943970, 226313219956483063, 14542887514403603
264542, 1218331031963055, 1108611997778738076, 990626857303138097, 110861199777873807, 7123940697726172
